0 fileHeader old=- new=- class=widget y=0.0 h=44.0
1 expander old=- new=- class=widget y=44.0 h=32.0
2 line old=10 new=10 class=context y=76.0 h=20.0
3 line old=11 new=- class=change y=96.0 h=20.0
4 line old=- new=11 class=change y=116.0 h=20.0
5 line old=- new=12 class=change y=136.0 h=20.0
6 line old=12 new=13 class=context y=156.0 h=20.0
7 expander old=- new=- class=widget y=176.0 h=32.0
8 line old=60 new=62 class=context y=208.0 h=20.0
9 line old=61 new=- class=change y=228.0 h=20.0
10 marker old=61 new=- class=change y=248.0 h=20.0
